"Species","SeenBy","Year"
"Pied-billed Grebe","L",2004
"Double-crested Cormorant","E",2004
"Great Blue Heron","E",2004
"Canada Goose","E",2004
"American Wigeon","E",2004
"Green-winged Teal","E",2004
"Mallard","E",2004
"Northern Shoveler","E",2004
"Ring-necked Duck","L",2004
"Common Goldeneye","E",2004
"Bufflehead","E",2004
"Ruddy Duck","L",2004
"American Coot","E",2004
"Ring-billed Gull","E",2004
"Northern Flicker","E",2004
"Ruby-crowned Kinglet","L",2004
"Bewick's Wren","E",2004
"American Robin","E",2004
"Bushtit","E",2004
"Black-capped Chickadee","E",2004
"Northwestern Crow","E",2004
"European Starling","E",2004
"Yellow-rumped Warbler","E",2004
"Song Sparrow","E",2004
"White-crowned Sparrow","E",2004
"House Finch","L",2004
"American Goldfinch","E",2004
"Pied-billed Grebe","E",2007
"Double-crested Cormorant","E",2007
"Great Blue Heron","E",2007
"Greater White-fronted Goose","E",2007
"Canada Goose","E",2007
"Eurasian Wigeon","E",2007
"American Wigeon","E",2007
"Gadwall","E",2007
"Green-winged Teal","E",2007
"Mallard","E",2007
"Northern Shoveler","E",2007
"Ring-necked Duck","E",2007
"Lesser Scaup","E",2007
"Bufflehead","E",2007
"Hooded Merganser","E",2007
"Common Merganser","E",2007
"Ruddy Duck","E",2007
"Red-tailed Hawk","E",2007
"American Coot","E",2007
"Glaucous-winged Gull","E",2007
"Rock Dove","E",2007
"Downy Woodpecker","E",2007
"Northern Flicker","E",2007
"Pacific Wren","E",2007
"American Robin","E",2007
"Black-capped Chickadee","E",2007
"Steller's Jay","E",2007
"Northwestern Crow","E",2007
"European Starling","E",2007
"Yellow-rumped Warbler","E",2007
"Red-winged Blackbird","E",2007
"American Goldfinch","E",2007
"Pied-billed Grebe","E",2008
"Double-crested Cormorant","E",2008
"Great Blue Heron","E",2008
"Canada Goose","E",2008
"American Wigeon","E",2008
"Gadwall","E",2008
"Green-winged Teal","E",2008
"Mallard","E",2008
"Northern Shoveler","E",2008
"Ring-necked Duck","E",2008
"Lesser Scaup","E",2008
"Bufflehead","E",2008
"Common Merganser","E",2008
"Ruddy Duck","E",2008
"Cooper's Hawk","E",2008
"Ring-necked Pheasant","E",2008
"American Coot","E",2008
"Killdeer","E",2008
"Anna's Hummingbird","E",2008
"Belted Kingfisher","E",2008
"Northern Flicker","E",2008
"Say's Phoebe","E",2008
"Tree Swallow","E",2008
"Violet-green Swallow","E",2008
"Ruby-crowned Kinglet","E",2008
"American Robin","E",2008
"Bushtit","E",2008
"Black-capped Chickadee","E",2008
"Northwestern Crow","E",2008
"European Starling","E",2008
"Yellow-rumped Warbler","E",2008
"Song Sparrow","E",2008
"White-crowned Sparrow","E",2008
"Red-winged Blackbird","E",2008
"House Finch","E",2008
"American Goldfinch","E",2008
"Pied-billed Grebe","E",2009
"Double-crested Cormorant","E",2009
"Great Blue Heron","E",2009
"Canada Goose","E",2009
"American Wigeon","E",2009
"Gadwall","E",2009
"Green-winged Teal","E",2009
"Mallard","E",2009
"Northern Shoveler","E",2009
"Lesser Scaup","E",2009
"Bufflehead","E",2009
"Hooded Merganser","E",2009
"Red-tailed Hawk","E",2009
"American Coot","E",2009
"Killdeer","E",2009
"Glaucous-winged Gull","E",2009
"Anna's Hummingbird","E",2009
"Northern Flicker","E",2009
"Tree Swallow","E",2009
"Violet-green Swallow","L",2009
"Marsh Wren","L",2009
"American Robin","E",2009
"Bushtit","E",2009
"Black-capped Chickadee","L",2009
"Northwestern Crow","E",2009
"European Starling","E",2009
"Yellow-rumped Warbler","E",2009
"Song Sparrow","L",2009
"Dark-eyed Junco","L",2009
"Red-winged Blackbird","E",2009
"House Finch","L",2009
"American Goldfinch","L",2009
"Canada Goose","E",2010
"Gadwall","E",2010
"American Wigeon","E",2010
"Mallard","E",2010
"Northern Shoveler","E",2010
"Green-winged Teal","E",2010
"Ring-necked Duck","E",2010
"Lesser Scaup","E",2010
"Bufflehead","E",2010
"Hooded Merganser","E",2010
"Double-crested Cormorant","E",2010
"Great Blue Heron","E",2010
"Bald Eagle","E",2010
"American Coot","E",2010
"Killdeer","E",2010
"Glaucous-winged Gull","E",2010
"Anna's Hummingbird","E",2010
"Northwestern Crow","E",2010
"Tree Swallow","E",2010
"Violet-green Swallow","L",2010
"Black-capped Chickadee","L",2010
"Bushtit","L",2010
"Bewick's Wren","L",2010
"Marsh Wren","L",2010
"American Robin","E",2010
"European Starling","E",2010
"Cedar Waxwing","E",2010
"Yellow-rumped Warbler","E",2010
"Spotted Towhee","L",2010
"Song Sparrow","L",2010
"Red-winged Blackbird","E",2010
"Canada Goose","E",2011
"American Wigeon","E",2011
"Gadwall","E",2011
"Mallard","E",2011
"Northern Shoveler","E",2011
"Green-winged Teal","E",2011
"Ring-necked Duck","E",2011
"Lesser Scaup","E",2011
"Bufflehead","E",2011
"Common Merganser","E",2011
"Pied-billed Grebe","E",2011
"Double-crested Cormorant","E",2011
"Great Blue Heron","E",2011
"Bald Eagle","E",2011
"Red-tailed Hawk","E",2011
"Virginia Rail","E",2011
"American Coot","E",2011
"Killdeer","L",2011
"Glaucous-winged Gull","E",2011
"Anna's Hummingbird","E",2011
"Downy Woodpecker","L",2011
"Northern Flicker","E",2011
"Western Scrub-Jay","L",2011
