ClassDate FieldDate Scouts Boys BoysFinished Girls GirlsFinished
2004-12-04 2004-12-04 6 6 6 0 0
2007-01-27 2007-01-27 15 15 15 0 0
2008-03-29 2008-03-29 7 7 7 0 0
2009-03-21 2009-03-21 12 12 12 0 0
2010-03-13 2010-03-13 11 11 11 0 0
2011-03-26 2011-03-26/27 11 11 11 0 0
2012-04-07 2012-04-07 7 7 6 0 0
2014-05-03 2014-05-03 8 8 3 0 0
2015-05-02 2015-05-02 3 3 2 0 0
2016-04-30 2016-04-30 7 7 6 0 0
2017-04-22 2017-04-22 7 7 6 0 0
2019-04-20 2019-04-20 13 5 5 8 8
2020-05-11 NA 4 3 0 1 0
2021-04-26 2021-05-01 6 5 1 1 0
2022-04-23 2022-04-23 3 3 2 0 0
2023-04-22 2022-04-22 3 2 2 1 1
2024-04-20 2024-04-20 8 7 1 1 0
